year,geocode,section_key,municipio,pct_otras_prestaciones,pct_otros_ingresos,pct_pensiones,pct_prestaciones_desempleo,pct_sueldos_salarios
2021,20220101_35016_D01_S059,35016_D01_S059,Las Palmas de Gran Canaria,4.7,16.5,19.0,3.7,56.1
2021,20220101_35016_D01_S060,35016_D01_S060,Las Palmas de Gran Canaria,6.9,6.0,26.1,5.4,55.6
2021,20220101_35016_D01_S061,35016_D01_S061,Las Palmas de Gran Canaria,14.1,2.0,21.5,10.1,52.4
2021,20220101_35016_D01_S062,35016_D01_S062,Las Palmas de Gran Canaria,8.1,3.0,31.3,7.5,50.1
2021,20220101_35016_D01_S063,35016_D01_S063,Las Palmas de Gran Canaria,8.2,3.0,27.0,8.2,53.6
2021,20220101_35016_D02_S001,35016_D02_S001,Las Palmas de Gran Canaria,4.0,19.6,28.4,1.4,46.7
2021,20220101_35016_D02_S002,35016_D02_S002,Las Palmas de Gran Canaria,2.8,27.4,21.7,1.0,47.2
2021,20220101_35016_D02_S003,35016_D02_S003,Las Palmas de Gran Canaria,2.2,38.6,14.9,1.1,43.2
2021,20220101_35016_D02_S004,35016_D02_S004,Las Palmas de Gran Canaria,3.2,27.9,14.9,1.3,52.7
2021,20220101_35016_D02_S005,35016_D02_S005,Las Palmas de Gran Canaria,4.2,24.2,18.0,1.8,51.8
2021,20220101_35016_D02_S006,35016_D02_S006,Las Palmas de Gran Canaria,3.9,17.7,20.1,1.8,56.5
2021,20220101_35016_D02_S007,35016_D02_S007,Las Palmas de Gran Canaria,9.8,3.4,20.8,7.9,58.1
2021,20220101_35016_D02_S009,35016_D02_S009,Las Palmas de Gran Canaria,9.3,3.4,26.0,5.4,56.0
2021,20220101_35016_D02_S010,35016_D02_S010,Las Palmas de Gran Canaria,9.5,3.0,24.7,6.9,55.9
2021,20220101_35016_D02_S011,35016_D02_S011,Las Palmas de Gran Canaria,6.5,6.3,24.5,5.3,57.4
2021,20220101_35016_D02_S012,35016_D02_S012,Las Palmas de Gran Canaria,6.6,10.4,21.1,5.0,57.0
2021,20220101_35016_D02_S013,35016_D02_S013,Las Palmas de Gran Canaria,5.8,6.8,28.5,4.4,54.5
2021,20220101_35016_D02_S014,35016_D02_S014,Las Palmas de Gran Canaria,5.4,5.1,29.7,4.0,55.8
2021,20220101_35016_D02_S015,35016_D02_S015,Las Palmas de Gran Canaria,5.3,4.2,26.1,5.5,59.0
2021,20220101_35016_D02_S016,35016_D02_S016,Las Palmas de Gran Canaria,5.1,10.0,28.5,3.5,52.9
2021,20220101_35016_D02_S018,35016_D02_S018,Las Palmas de Gran Canaria,8.0,4.6,21.6,6.7,59.2
2021,20220101_35016_D02_S019,35016_D02_S019,Las Palmas de Gran Canaria,5.6,8.2,24.6,5.2,56.3
2021,20220101_35016_D02_S020,35016_D02_S020,Las Palmas de Gran Canaria,3.8,6.1,15.0,4.2,71.0
2021,20220101_35016_D02_S021,35016_D02_S021,Las Palmas de Gran Canaria,5.8,5.2,23.6,5.8,59.6
2021,20220101_35016_D02_S022,35016_D02_S022,Las Palmas de Gran Canaria,7.1,2.5,22.4,5.2,62.9
