year,geo_actividad,section_key,municipio,casos_agricultura,casos_construccion,casos_industria,casos_actividad_no_consta,casos_servicios,actividad_total_conocida,pct_servicios,pct_industria_construccion
2021,20210101_38026_D02_S003,38026_D02_S003,"Orotava, La",8.0,82.0,46.0,0.0,797.0,933.0,85.42336548767418,13.719185423365488
2021,20210101_38026_D02_S004,38026_D02_S004,"Orotava, La",8.0,23.0,16.0,0.0,344.0,391.0,87.97953964194373,9.974424552429667
2021,20210101_38026_D03_S001,38026_D03_S001,"Orotava, La",21.0,67.0,29.0,1.0,397.0,514.0,77.23735408560312,18.67704280155642
2021,20210101_38026_D03_S002,38026_D03_S002,"Orotava, La",9.0,39.0,28.0,0.0,345.0,421.0,81.94774346793349,15.914489311163896
2021,20210101_38026_D03_S003,38026_D03_S003,"Orotava, La",8.0,37.0,26.0,0.0,614.0,685.0,89.63503649635037,9.197080291970803
2021,20210101_38026_D03_S004,38026_D03_S004,"Orotava, La",14.0,59.0,42.0,0.0,707.0,822.0,86.00973236009732,12.287104622871047
2021,20210101_38026_D03_S005,38026_D03_S005,"Orotava, La",13.0,39.0,31.0,0.0,315.0,398.0,79.14572864321607,17.587939698492463
2021,20210101_38026_D03_S006,38026_D03_S006,"Orotava, La",9.0,49.0,27.0,0.0,646.0,731.0,88.37209302325581,10.39671682626539
2021,20210101_38026_D03_S007,38026_D03_S007,"Orotava, La",4.0,46.0,23.0,0.0,431.0,504.0,85.51587301587301,13.69047619047619
2021,20210101_38026_D04_S001,38026_D04_S001,"Orotava, La",13.0,45.0,34.0,0.0,786.0,878.0,89.52164009111617,8.997722095671982
2021,20210101_38026_D04_S002,38026_D04_S002,"Orotava, La",10.0,55.0,30.0,0.0,460.0,555.0,82.88288288288288,15.315315315315315
2021,20210101_38026_D04_S003,38026_D04_S003,"Orotava, La",12.0,29.0,22.0,0.0,364.0,427.0,85.24590163934427,11.943793911007026
2021,20210101_38026_D04_S004,38026_D04_S004,"Orotava, La",5.0,17.0,13.0,0.0,224.0,259.0,86.48648648648648,11.583011583011583
2021,20210101_38026_D04_S005,38026_D04_S005,"Orotava, La",12.0,35.0,29.0,0.0,640.0,716.0,89.3854748603352,8.938547486033519
2021,20210101_38026_D05_S001,38026_D05_S001,"Orotava, La",19.0,104.0,38.0,0.0,573.0,734.0,78.06539509536785,19.346049046321525
2021,20210101_38026_D05_S002,38026_D05_S002,"Orotava, La",13.0,55.0,24.0,1.0,344.0,436.0,78.89908256880734,18.119266055045873
2021,20210101_38026_D05_S003,38026_D05_S003,"Orotava, La",22.0,91.0,37.0,0.0,547.0,697.0,78.47919655667145,18.36441893830703
2021,20210101_38026_D05_S004,38026_D05_S004,"Orotava, La",5.0,36.0,14.0,0.0,286.0,341.0,83.87096774193549,14.662756598240469
2021,20210101_38026_D05_S005,38026_D05_S005,"Orotava, La",9.0,73.0,43.0,0.0,522.0,647.0,80.68006182380216,17.928902627511594
2021,20210101_38026_D06_S001,38026_D06_S001,"Orotava, La",20.0,56.0,6.0,0.0,205.0,287.0,71.42857142857143,21.60278745644599
2021,20210101_38026_D06_S002,38026_D06_S002,"Orotava, La",15.0,75.0,18.0,0.0,304.0,412.0,73.7864077669903,22.57281553398058
2021,20210101_38026_D06_S003,38026_D06_S003,"Orotava, La",7.0,78.0,35.0,0.0,449.0,569.0,78.9103690685413,19.85940246045694
2021,20210101_38026_D06_S004,38026_D06_S004,"Orotava, La",75.0,142.0,26.0,3.0,350.0,593.0,59.02192242833052,28.33052276559865
2021,20210101_38027_D01_S001,38027_D01_S001,"Paso, El",29.0,70.0,32.0,1.0,419.0,550.0,76.18181818181819,18.545454545454547
2021,20210101_38027_D02_S001,38027_D02_S001,"Paso, El",57.0,65.0,39.0,2.0,724.0,885.0,81.80790960451978,11.751412429378531
2021,20210101_38027_D03_S001,38027_D03_S001,"Paso, El",42.0,46.0,18.0,4.0,370.0,476.0,77.73109243697479,13.445378151260504
2021,20210101_38027_D03_S002,38027_D03_S002,"Paso, El",28.0,48.0,22.0,1.0,374.0,472.0,79.23728813559322,14.830508474576272
2021,20210101_38027_D04_S001,38027_D04_S001,"Paso, El",63.0,54.0,25.0,0.0,339.0,481.0,70.47817047817048,16.424116424116423
2021,20210101_38028_D01_S001,38028_D01_S001,Puerto de la Cruz,4.0,3.0,7.0,0.0,280.0,294.0,95.23809523809524,3.401360544217687
2021,20210101_38028_D01_S002,38028_D01_S002,Puerto de la Cruz,12.0,17.0,13.0,0.0,531.0,573.0,92.67015706806282,5.2356020942408374
2021,20210101_38028_D01_S003,38028_D01_S003,Puerto de la Cruz,19.0,29.0,29.0,1.0,869.0,946.0,91.86046511627907,6.13107822410148
2021,20210101_38028_D01_S004,38028_D01_S004,Puerto de la Cruz,7.0,39.0,22.0,1.0,766.0,834.0,91.84652278177458,7.314148681055156
