year,geocode,section_key,municipio,distrito,seccion,renta_bruta_media_hogar,renta_bruta_media_persona,renta_neta_uc_media,renta_neta_uc_mediana,renta_ratio_media_mediana,map_year_renta
2021,20220101_38006_D01_S019,38006_D01_S019,Arona,1,19,26814.0,11882.0,14772.0,11550.0,1.2789610389610389,2022
2021,20220101_38006_D01_S020,38006_D01_S020,Arona,1,20,26004.0,11639.0,15272.0,12250.0,1.2466938775510203,2022
2021,20220101_38006_D01_S021,38006_D01_S021,Arona,1,21,24681.0,8792.0,12329.0,11550.0,1.0674458874458874,2022
2021,20220101_38006_D01_S022,38006_D01_S022,Arona,1,22,30127.0,10571.0,14505.0,12950.0,1.12007722007722,2022
2021,20220101_38006_D01_S023,38006_D01_S023,Arona,1,23,23980.0,9299.0,12280.0,10850.0,1.1317972350230414,2022
2021,20220101_38006_D01_S024,38006_D01_S024,Arona,1,24,29058.0,10209.0,14071.0,12950.0,1.0865637065637066,2022
2021,20220101_38006_D01_S025,38006_D01_S025,Arona,1,25,31162.0,10742.0,14721.0,13650.0,1.0784615384615384,2022
2021,20220101_38006_D01_S026,38006_D01_S026,Arona,1,26,28944.0,11125.0,14702.0,12950.0,1.1352895752895753,2022
2021,20220101_38006_D01_S027,38006_D01_S027,Arona,1,27,27206.0,9862.0,13448.0,12950.0,1.0384555984555985,2022
2021,20220101_38006_D01_S028,38006_D01_S028,Arona,1,28,32548.0,10771.0,14768.0,13650.0,1.081904761904762,2022
2021,20220101_38006_D01_S029,38006_D01_S029,Arona,1,29,21224.0,7295.0,10335.0,9450.0,1.0936507936507935,2022
2021,20220101_38006_D01_S030,38006_D01_S030,Arona,1,30,24645.0,8781.0,12375.0,11550.0,1.0714285714285714,2022
2021,20220101_38006_D01_S031,38006_D01_S031,Arona,1,31,22191.0,7284.0,10344.0,9450.0,1.0946031746031746,2022
2021,20220101_38006_D01_S032,38006_D01_S032,Arona,1,32,21342.0,8957.0,12261.0,10850.0,1.1300460829493089,2022
